Days	Dose	Induced	Ratio	Osteoimage RFU	DAPI
21	0	no	0.028193276	9078.638889	322014.3333
21	0	no	0.180091204	38432.08333	213403.4444
21	0	no	1.289718148	15171.52778	11763.44444
21	0.0048	no	0.047313627	12117.86111	256117.7778
21	0.0048	no	0.176992836	34667.52778	195869.6667
21	0.0048	no	0.070425064	17095.52778	242747.7778
21	0.0048	no	0.16547027	43785.75	264614
21	0.024	no	0.148763854	33799.52778	227202.5556
21	0.024	no	0.124092966	20536.97222	165496.6667
21	0.024	no	0.131287372	21443.75	163334.4444
21	0.024	no	0.081360457	4146.861111	50969
21	0.12	no	0.093397499	25596.86111	274063.6667
21	0.12	no	0.12218693	28058.08333	229632.4444
21	0.12	no	0.066272467	16131.63889	243413.8889
21	0.12	no	0.121230814	32595.63889	268872.5556
21	0.6	no	0.101762439	28089.97222	276034.7778
21	0.6	no	0.437919035	102684.8611	234483.6667
21	0.6	no	0.254027354	50178.30556	197531.1111
21	0.6	no	0.07994384	23302.52778	291486.2222
21	3	no	0.089545391	16476.75	184004.4444
21	3	no	0.057567221	10911.52778	189544.1111
21	3	no	0.108336024	17746.86111	163813.1111
21	3	no	0.071438308	19652.41667	275096.3333
21	15	no	0.088805006	7735.527778	87106.88889
21	15	no	0.090475255	6681.416667	73848
21	15	no	0.101796778	9534.75	93664.55556
21	15	no	0.074612125	8148.638889	109213.3333
21	15	no	0.093770954	7505.083333	80036.33333
21	15	no	0.095021389	9447.638889	99426.44444
7	0	yes	0.00484547	589.7546296	121712.5787
7	0	yes	0.012067329	1252.310185	103776.912
7	0	yes	0.015295501	1672.310185	109333.4676
7	0	yes	0.012350507	1617.421296	130959.912
7	0.0048	yes	0.01184656	1298.976852	109650.1343
7	0.0048	yes	0.007096803	831.1990741	117123.0231
7	0.0048	yes	0.003538643	479.9768519	135638.6898
7	0.0048	yes	0.012132461	1340.199074	110463.912
7	0.024	yes	0.001709822	230.9768519	135088.2454
7	0.024	yes	0.006885076	859.4212963	124823.8009
7	0.024	yes	0.001611113	174.1990741	108123.4676
7	0.024	yes	0.007848111	1069.421296	136264.8009
7	0.12	yes	0.010823286	1389.199074	128352.8009
7	0.12	yes	0.009071305	1025.532407	113052.3565
7	0.12	yes	0.013125634	1811.865741	138040.2454
7	0.12	yes	0.007618666	1048.199074	137583.0231
